name	bio.tools_id	id	description	tool_shed_repository	panel_section_name	edam_topics	edam_operations		
Slamdunk		toolshed.g2.bx.psu.edu/repos/iuc/slamdunk/slamdunk/0.4.3+galaxy1	- streamlining SLAM-seq analysis with ultra-high sensitivity	slamdunk	RNA Analysis		
Cuffmerge		toolshed.g2.bx.psu.edu/repos/devteam/cuffmerge/cuffmerge/2.2.1.3	merge together several Cufflinks assemblies	cuffmerge	RNA Analysis		
Salmon quantmerge		toolshed.g2.bx.psu.edu/repos/bgruening/salmonquantmerge/salmonquantmerge/1.5.1+galaxy0	Merge multiple quantification results into a single file	salmonquantmerge	RNA Analysis		
EGSEA		toolshed.g2.bx.psu.edu/repos/iuc/egsea/egsea/1.20.0	easy and efficient ensemble gene set testing	egsea	RNA Analysis		
TargetFinder		toolshed.g2.bx.psu.edu/repos/rnateam/targetfinder/targetfinder/1.7.0+galaxy1	plant small RNA target prediction tool	targetfinder	RNA Analysis		
MiGMAP		toolshed.g2.bx.psu.edu/repos/iuc/migmap/migmap/1.0.3+galaxy2	mapper for full-length T- and B-cell repertoire sequencing	migmap	RNA Analysis		
Kallisto pseudo		toolshed.g2.bx.psu.edu/repos/iuc/kallisto_pseudo/kallisto_pseudo/0.46.2+galaxy0	- run pseudoalignment on RNA-Seq transcripts	kallisto_pseudo	RNA Analysis		
Kallisto quant		toolshed.g2.bx.psu.edu/repos/iuc/kallisto_quant/kallisto_quant/0.46.2+galaxy0	- quantify abundances of RNA-Seq transcripts	kallisto_quant	RNA Analysis		
Remove Unwanted Variation		toolshed.g2.bx.psu.edu/repos/iuc/ruvseq/ruvseq/1.26.0+galaxy0	from RNA-seq data	ruvseq	RNA Analysis		
Salmon quant		toolshed.g2.bx.psu.edu/repos/bgruening/salmon/salmon/1.5.1+galaxy0	Perform dual-phase, reads or mapping-based estimation of transcript abundance from RNA-seq reads	salmon	RNA Analysis		
GenomicSuperSignature		toolshed.g2.bx.psu.edu/repos/iuc/genomic_super_signature/genomic_super_signature/1.2.0+galaxy0	interpretation of RNAseq experiments	genomic_super_signature	RNA Analysis		
Filter Combined Transcripts		toolshed.g2.bx.psu.edu/repos/devteam/filter_transcripts_via_tracking/filter_combined_via_tracking/0.1	using tracking file	filter_transcripts_via_tracking	RNA Analysis		
eXpress		toolshed.g2.bx.psu.edu/repos/devteam/express/express/1.1.1	Quantify the abundances of a set of target sequences from sampled subsequences	express	RNA Analysis		
maSigPro		toolshed.g2.bx.psu.edu/repos/iuc/masigpro/masigpro/1.49.3.1+galaxy1	Significant Gene Expression Profile Differences in Time Course Gene Expression Data	masigpro	RNA Analysis		
Cufflinks		toolshed.g2.bx.psu.edu/repos/devteam/cufflinks/cufflinks/2.2.1.3	transcript assembly and FPKM (RPKM) estimates for RNA-Seq data	cufflinks	RNA Analysis		
Cuffdiff		toolshed.g2.bx.psu.edu/repos/devteam/cuffdiff/cuffdiff/2.2.1.6	find significant changes in transcript expression, splicing, and promoter use	cuffdiff	RNA Analysis		
Cuffcompare		toolshed.g2.bx.psu.edu/repos/devteam/cuffcompare/cuffcompare/2.2.1.2	compare assembled transcripts to a reference annotation and track Cufflinks transcripts across multiple experiments	cuffcompare	RNA Analysis		
scPipe		toolshed.g2.bx.psu.edu/repos/iuc/scpipe/scpipe/1.0.0+galaxy2	- preprocessing pipeline for single cell RNA-seq	scpipe	RNA Analysis		
TEtranscripts		toolshed.g2.bx.psu.edu/repos/iuc/tetoolkit_tetranscripts/tetoolkit_tetranscripts/2.2.1+galaxy0	annotates reads to genes and transposable elements	tetoolkit_tetranscripts	RNA Analysis		
footprint		toolshed.g2.bx.psu.edu/repos/rnateam/footprint/footprint/1.0.0		footprint	RNA Analysis		
Cuffnorm		toolshed.g2.bx.psu.edu/repos/devteam/cuffnorm/cuffnorm/2.2.1.3	Create normalized expression levels	cuffnorm	RNA Analysis		
cummeRbund		toolshed.g2.bx.psu.edu/repos/devteam/cummerbund/cummeRbund/2.16.0+galaxy1	visualize Cuffdiff output	cummerbund	RNA Analysis		
htseq-count		toolshed.g2.bx.psu.edu/repos/lparsons/htseq_count/htseq_count/0.9.1+galaxy1	- Count aligned reads in a BAM file that overlap features in a GFF file	htseq_count	RNA Analysis		
sRNAPipe		toolshed.g2.bx.psu.edu/repos/brasset_jensen/srnapipe/sRNAPipe/1.1.1	In-depth study of small RNA	srnapipe	RNA Analysis		
GraphProt		toolshed.g2.bx.psu.edu/repos/rnateam/graphprot_predict_profile/graphprot_predict_profile/1.1.7+galaxy1	- Train models and predict RBP binding profiles	graphprot_predict_profile	RNA Analysis		
Visualize		toolshed.g2.bx.psu.edu/repos/iuc/heinz/heinz_visualization/0.1.1	the optimal scoring subnetwork	heinz	RNA Analysis		
QualiMap Counts QC		toolshed.g2.bx.psu.edu/repos/iuc/qualimap_counts/qualimap_counts/2.2.2c		qualimap_counts	RNA Analysis		
QualiMap RNA-Seq QC		toolshed.g2.bx.psu.edu/repos/iuc/qualimap_rnaseq/qualimap_rnaseq/2.2.2c+galaxy1		qualimap_rnaseq	RNA Analysis		
Filter with SortMeRNA		toolshed.g2.bx.psu.edu/repos/rnateam/sortmerna/bg_sortmerna/2.1b.4	Fast and accurate filtering of ribosomal RNAs in metatranscriptomic data	sortmerna	RNA Analysis		
GLASSgo		toolshed.g2.bx.psu.edu/repos/computationaltranscriptomics/glassgo/glassgo/1.5.2	sRNA homolog finder	glassgo	RNA Analysis		
IntaRNA		toolshed.g2.bx.psu.edu/repos/rnateam/intarna/intarna/3.1.1	Efficient RNA-RNA interaction prediction incorporating accessibility and seeding of interaction sites.	intarna	RNA Analysis		
Cross-contamination Barcode Filter		toolshed.g2.bx.psu.edu/repos/iuc/crosscontamination_barcode_filter/crosscontamination_barcode_filter/0.3	for use in plate-based barcoded analyses	crosscontamination_barcode_filter	RNA Analysis		
Extract and cluster differentially expressed transcripts		toolshed.g2.bx.psu.edu/repos/iuc/trinity_analyze_diff_expr/trinity_analyze_diff_expr/2.8.4+galaxy1	from a Trinity assembly	trinity_analyze_diff_expr	RNA Analysis		
Select Sequences		toolshed.g2.bx.psu.edu/repos/rnateam/selectsequencesfrommsa/selectsequencesfrommsa/1.0.5	Tool to select representative sequences from a multiple sequence alignment.	selectsequencesfrommsa	RNA Analysis		
Cofold		toolshed.g2.bx.psu.edu/repos/rnateam/cofold/cofold/2.0.4.0	An RNA secondary structure prediction method that takes co-transcriptional folding into account	cofold	RNA Analysis		
RNAz Cluster		toolshed.g2.bx.psu.edu/repos/bgruening/rnaz_cluster/rnaz_cluster/2.1		rnaz_cluster	RNA Analysis		
Dr. Disco (classify)		toolshed.g2.bx.psu.edu/repos/erasmus-medical-center/dr_disco/dr_disco_classify/0.14.0	Classifies detected break-points in RNA-seq based on corresponding statistics and blacklists	dr_disco	RNA Analysis		
Dr. Disco (fix)		toolshed.g2.bx.psu.edu/repos/erasmus-medical-center/dr_disco/dr_disco_fix/0.14.0	Fixes chimeric alignments from STAR	dr_disco	RNA Analysis		
Dr. Disco (bam-extract)		toolshed.g2.bx.psu.edu/repos/erasmus-medical-center/dr_disco/dr_disco_bam_extract/0.14.0	Extracts reads from two targeted regions	dr_disco	RNA Analysis		
Dr. Disco (integrate)		toolshed.g2.bx.psu.edu/repos/erasmus-medical-center/dr_disco/dr_disco_integrate/0.14.0	Merges corresponding genomic breaks and exon-to-exon junctions	dr_disco	RNA Analysis		
Dr. Disco (detect)		toolshed.g2.bx.psu.edu/repos/erasmus-medical-center/dr_disco/dr_disco_detect/0.14.0	Detects break-points in RNA-seq	dr_disco	RNA Analysis		
MEA		toolshed.g2.bx.psu.edu/repos/rnateam/mea/mea/0.6.4.1	Predict MEA structures and compare structures of RNAs	mea	RNA Analysis		
CMCV		toolshed.g2.bx.psu.edu/repos/rnateam/cmcv/cmcv/1.0.8	visualization of comparisons between RNA family models (CM)	cmcv	RNA Analysis		
RNAz Randomize Aln		toolshed.g2.bx.psu.edu/repos/bgruening/rnaz_randomize_aln/rnaz_randomize_aln/2.1		rnaz_randomize_aln	RNA Analysis		
RNAz Select Seqs		toolshed.g2.bx.psu.edu/repos/bgruening/rnaz_select_seqs/rnaz_select_seqs/2.1		rnaz_select_seqs	RNA Analysis		
RNAz windows		toolshed.g2.bx.psu.edu/repos/bgruening/rnaz_window/rnaz_window/2.1		rnaz_window	RNA Analysis		
Annotate RNAz		toolshed.g2.bx.psu.edu/repos/bgruening/rnaz_annotate/rnaz_annotate/2.1		rnaz_annotate	RNA Analysis		
Annotate DESeq2/DEXSeq output tables		toolshed.g2.bx.psu.edu/repos/iuc/deg_annotate/deg_annotate/1.1.0	Append annotation from GTF to differential expression tool outputs	deg_annotate	RNA Analysis		
LocARNA Multiple Aligner		toolshed.g2.bx.psu.edu/repos/rnateam/locarna_multiple/locarna_multiple/1.9.0.1	Multiple Alignment and Folding of RNAs (mlocarna)	locarna_multiple	RNA Analysis		
cmv		toolshed.g2.bx.psu.edu/repos/rnateam/cmv/cmv/1.0.8	CMV is a tool for visualization of RNA family models, also known as covariance models (CM)	cmv	RNA Analysis		
ribotaper part 2: metagene analysis for P-sites definition		toolshed.g2.bx.psu.edu/repos/rnateam/ribotaper/ribotaper_create_metaplots/0.1.0		ribotaper	RNA Analysis		
ribotaper part 3: ribosome profiling		toolshed.g2.bx.psu.edu/repos/rnateam/ribotaper/ribotaper_ribosome_profiling/0.1.0		ribotaper	RNA Analysis		
ribotaper part 1: creation of annotation files		toolshed.g2.bx.psu.edu/repos/rnateam/ribotaper/ribotaper_create_annotation/0.1.0		ribotaper	RNA Analysis		
PIPmiR PIPELINE		toolshed.g2.bx.psu.edu/repos/rnateam/pipmir/pipmir/0.1.0	a method to identify novel plant miRNA	pipmir	RNA Analysis		
NASTIseq		toolshed.g2.bx.psu.edu/repos/rnateam/nastiseq/nastiseq/1.0	Identify cis-NATs using ssRNA-seq	nastiseq	RNA Analysis		
FlaiMapper		toolshed.g2.bx.psu.edu/repos/yhoogstrate/flaimapper/flaimapper/3.0.0-0	detects small ncRNA derived fragments in small RNA-Seq data	flaimapper	RNA Analysis		
Get motifs from AREsite2		toolshed.g2.bx.psu.edu/repos/rnateam/aresite2/AREsite2_REST/0.1.2	AREsite2 REST Interface	aresite2	RNA Analysis		
FuMa		toolshed.g2.bx.psu.edu/repos/yhoogstrate/fuma/fuma/3.0.5-g0	match detected fusion genes based on gene names (in particular for RNA-Seq)	fuma	RNA Analysis		
RNAlien		toolshed.g2.bx.psu.edu/repos/rnateam/rnalien/RNAlien/1.3.6	Unsupervised covariance model construction from a single input sequence	rnalien	RNA Analysis		
BlockClust		toolshed.g2.bx.psu.edu/repos/rnateam/blockclust/blockclust/1.1.0	efficient clustering and classification of non-coding RNAs from short read RNA-seq profiles	blockclust	RNA Analysis		
RNASeq samples quality check		toolshed.g2.bx.psu.edu/repos/iuc/trinity_samples_qccheck/trinity_samples_qccheck/2.8.4	for transcript quantification	trinity_samples_qccheck	RNA Analysis		
Describe samples		toolshed.g2.bx.psu.edu/repos/iuc/describe_samples/describe_samples/2.8.4	and replicates	describe_samples	RNA Analysis		
Partition genes into expression clusters		toolshed.g2.bx.psu.edu/repos/iuc/trinity_define_clusters_by_cutting_tree/trinity_define_clusters_by_cutting_tree/2.8.4+galaxy1	after differential expression analysis using a Trinity assembly	trinity_define_clusters_by_cutting_tree	RNA Analysis		
Gene Body Coverage (BAM)		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_geneBody_coverage/2.6.4.3	Read coverage over gene body.	rseqc	RNA Analysis		
Fit a BUM model		toolshed.g2.bx.psu.edu/repos/iuc/heinz/heinz_bum/1.0	with p-values	heinz	RNA Analysis		
Identify optimal scoring subnetwork		toolshed.g2.bx.psu.edu/repos/iuc/heinz/heinz/1.0	using Heinz	heinz	RNA Analysis		
Calculate a Heinz score		toolshed.g2.bx.psu.edu/repos/iuc/heinz/heinz_scoring/1.0	for each node	heinz	RNA Analysis		
ssHMM		toolshed.g2.bx.psu.edu/repos/rnateam/sshmm/sshmm/1.0.7	- RNA sequence-structure motif finder	sshmm	RNA Analysis		
pizzly		toolshed.g2.bx.psu.edu/repos/iuc/pizzly/pizzly/0.37.3.1	- fast fusion detection using kallisto	pizzly	RNA Analysis		
RCAS		toolshed.g2.bx.psu.edu/repos/rnateam/rcas/rcas/1.5.4	- RNA Centric Annotation System	rcas	RNA Analysis		
Gene Body Coverage (Bigwig)		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_geneBody_coverage2/2.6.4.1	Read coverage over gene body	rseqc	RNA Analysis		
RPKM Saturation		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_RPKM_saturation/2.6.4.1	calculates raw count and RPKM values for transcript at exon, intron, and mRNA level	rseqc	RNA Analysis		
Infer Experiment		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_infer_experiment/2.6.4.1	speculates how RNA-seq were configured	rseqc	RNA Analysis		
RNA fragment size		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_RNA_fragment_size/2.6.4.1	calculates the fragment size for each gene/transcript	rseqc	RNA Analysis		
Transcript Integrity Number		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_tin/2.6.4.1	evaluates RNA integrity at a transcript level	rseqc	RNA Analysis		
Junction Saturation		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_junction_saturation/2.6.4.1	detects splice junctions from each subset and compares them to reference gene model	rseqc	RNA Analysis		
FPKM Count		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_FPKM_count/2.6.4.1	calculates raw read count, FPM, and FPKM for each gene	rseqc	RNA Analysis		
Read Distribution		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_read_distribution/2.6.4.1	calculates how mapped reads were distributed over genome feature	rseqc	RNA Analysis		
RNAcode		toolshed.g2.bx.psu.edu/repos/rnateam/rnacode/rbc_rnacode/0.3.1	Analyze the protein coding potential in MSA.	rnacode	RNA Analysis		
Junction Annotation		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_junction_annotation/2.6.4.1	compares detected splice junctions to reference gene model	rseqc	RNA Analysis		
Inner Distance		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_inner_distance/2.6.4.1	calculate the inner distance (or insert size) between two paired RNA reads	rseqc	RNA Analysis		
RNAz		toolshed.g2.bx.psu.edu/repos/bgruening/rnaz/rnaz/2.1.1	predicting structurally conserved and thermodynamically stable RNA secondary structures	rnaz	RNA Analysis		
RNAshapes		toolshed.g2.bx.psu.edu/repos/rnateam/rnashapes/RNAshapes/3.3.0	RNA Secondary structure prediction	rnashapes	RNA Analysis		
RNAfold		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnafold/viennarna_rnafold/2.2.10.4	Calculate minimum free energy secondary structures and partition function of RNAs	viennarna_rnafold	RNA Analysis		
IDR		toolshed.g2.bx.psu.edu/repos/iuc/idr/idr/2.0.3	compare ranked list of identifications	idr	RNA Analysis		
RNAcofold		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnacofold/viennarna_rnacofold/2.2.10.0	Calculate secondary structures of two RNAs with dimerization	viennarna_rnacofold	RNA Analysis		
RNAalifold		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnaalifold/viennarna_rnaalifold/2.2.10.1	Calculate minimum free energy secondary structures and partition function on a multiple alignment file	viennarna_rnaalifold	RNA Analysis		
Deletion Profile		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_deletion_profile/2.6.4	calculates the distributions of deleted nucleotides across reads	rseqc	RNA Analysis		
Read NVC		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_read_NVC/2.6.4	to check the nucleotide composition bias	rseqc	RNA Analysis		
BAM/SAM Mapping Stats		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_bam_stat/2.6.4	reads mapping statistics for a provided BAM or SAM file.	rseqc	RNA Analysis		
Read Duplication		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_read_duplication/2.6.4	determines reads duplication rate with sequence-based and mapping-based strategies	rseqc	RNA Analysis		
Read GC		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_read_GC/2.6.4	determines GC% and read count	rseqc	RNA Analysis		
Insertion Profile		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_insertion_profile/2.6.4	calculates the distribution of inserted nucleotides across reads	rseqc	RNA Analysis		
BAM to Wiggle		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_bam2wig/2.6.4	converts all types of RNA-seq data from .bam to .wig	rseqc	RNA Analysis		
Clipping Profile		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_clipping_profile/2.6.4	estimates clipping profile of RNA-seq reads from BAM or SAM file	rseqc	RNA Analysis		
Read Quality		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_read_quality/2.6.4	determines Phred quality score	rseqc	RNA Analysis		
Hexamer frequency		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_read_hexamer/2.6.4	calculates hexamer (6mer) frequency for reads, genomes, and mRNA sequences	rseqc	RNA Analysis		
Mismatch Profile		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_mismatch_profile/2.6.4	calculates the distribution of mismatches across reads	rseqc	RNA Analysis		
segemehl		toolshed.g2.bx.psu.edu/repos/rnateam/segemehl/segemehl/0.2.0.3	short read mapping with gaps	segemehl	RNA Analysis		
Sailfish		toolshed.g2.bx.psu.edu/repos/bgruening/sailfish/sailfish/0.10.1.1	transcript quantification from RNA-seq data	sailfish	RNA Analysis		
Cuffquant		toolshed.g2.bx.psu.edu/repos/devteam/cuffquant/cuffquant/2.2.1.1	Precompute gene expression levels	cuffquant	RNA Analysis		
RNAeval		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnaeval/viennarna_rnaeval/2.2.10.0	Calculate energy of RNA sequences with given secondary structure	viennarna_rnaeval	RNA Analysis		
RNAplex		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnaplex/viennarna_rnaplex/2.2.10.0	Find targets of a query RNA	viennarna_rnaplex	RNA Analysis		
RNA2Dfold		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rna2dfold/viennarna_rna2dfold/2.2.10.0	explore structure space between two reference structures	viennarna_rna2dfold	RNA Analysis		
RNApaln		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnapaln/viennarna_rnapaln/2.2.10.0	RNA alignment based on sequence base pairing propensities	viennarna_rnapaln	RNA Analysis		
RNAplot		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnaplot/viennarna_rnaplot/2.2.10.0	Draw RNA Secondary Structures	viennarna_rnaplot	RNA Analysis		
RNAsnoop		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnasnoop/viennarna_rnasnoop/2.2.10.0	Find targets of a query H/ACA snoRNA	viennarna_rnasnoop	RNA Analysis		
Kinfold		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_kinfold/viennarna_kinfold/1.3.0.0	Simulates the stochastic folding kinetics of RNA sequences into secondary structures.	viennarna_kinfold	RNA Analysis		
RNAaliduplex		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnaaliduplex/viennarna_rnaaliduplex/2.2.10.0	find binding sites of two RNA alignments	viennarna_rnaaliduplex	RNA Analysis		
RNAduplex		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnaduplex/viennarna_rnaduplex/2.2.10.0	Compute the structure upon hybridization of two RNA strands	viennarna_rnaduplex	RNA Analysis		
RNAdistance		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnadistance/viennarna_rnadistance/2.2.10.0	Calculate distance between secondary structures of two RNAs	viennarna_rnadistance	RNA Analysis		
RNApdist		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnadpdist/viennarna_rnadpdist/2.2.10.0	Calculate distances between thermodynamic RNA secondary structure ensembles	viennarna_rnadpdist	RNA Analysis		
RNALfold		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnalfold/viennarna_rnalfold/2.2.10.0	calculates locally stable secondary structures of RNA	viennarna_rnalfold	RNA Analysis		
RNAPKplex		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnapkplex/viennarna_rnapkplex/2.2.10.0	predicts RNA secondary structures including pseudoknots	viennarna_rnapkplex	RNA Analysis		
RNAup		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnaup/viennarna_rnaup/2.2.10.0	Calculate the thermodynamics of RNA-RNA interactions	viennarna_rnaup	RNA Analysis		
RNALalifold		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnalalifold/viennarna_rnalalifold/2.2.10.0	Calculate locally stable secondary structures for a set of aligned RNAs	viennarna_rnalalifold	RNA Analysis		
RNAinverse		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnainverse/viennarna_rnainverse/2.2.10.0	Calculate RNA sequence from secondary structure	viennarna_rnainverse	RNA Analysis		
RNAheat		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnaheat/viennarna_rnaheat/2.2.10.0	Calculate energies of RNA in a temperature range	viennarna_rnaheat	RNA Analysis		
RNAsubopt		toolshed.g2.bx.psu.edu/repos/rnateam/viennarna_rnasubopt/viennarna_rnasubopt/2.2.10.0	Calculates suboptimal secondary structures of RNAs	viennarna_rnasubopt	RNA Analysis		
remuRNA		toolshed.g2.bx.psu.edu/repos/rnateam/remurna/remurna/1.0.0	Measurement of Single Nucleotide Polymorphism induced Changes of RNA Conformation	remurna	RNA Analysis		
RNAsnp		toolshed.g2.bx.psu.edu/repos/rnateam/rnasnp/rnasnp/1.2.0	Efficient detection of local RNA secondary structure changes induced by SNPs	rnasnp	RNA Analysis		
LocARNA		toolshed.g2.bx.psu.edu/repos/rnateam/mlocarna/mlocarna/1.8.12.0	Multiple Alignment and Folding of RNAs	mlocarna	RNA Analysis		
PARalyzer		toolshed.g2.bx.psu.edu/repos/rnateam/paralyzer/paralyzer/1.5	A method to map interaction sites between RNA-binding proteins      and their targets	paralyzer	RNA Analysis		
CIRCexplorer		toolshed.g2.bx.psu.edu/repos/bgruening/circexplorer/circexplorer/1.1.9.0		circexplorer	RNA Analysis		
RNAcommender		toolshed.g2.bx.psu.edu/repos/rnateam/rnacommender/rbc_rnacommender/0.1.1	genome-wide recommendation of RNA-protein interactions	rnacommender	RNA Analysis		
RPKM Count		toolshed.g2.bx.psu.edu/repos/nilesh/rseqc/rseqc_RPKM_count/2.4	calculates raw count and RPKM values for transcript at exon, intron, and mRNA level	rseqc	RNA Analysis		
Tophat Fusion Post		toolshed.g2.bx.psu.edu/repos/devteam/tophat_fusion_post/tophat_fusion_post/0.1	post-processing to identify fusion genes	tophat_fusion_post	RNA Analysis		
blockbuster		toolshed.g2.bx.psu.edu/repos/rnateam/blockbuster/blockbuster/0.1.2	detects blocks of overlapping reads using a gaussian-distribution approach	blockbuster	RNA Analysis		
Kinwalker		toolshed.g2.bx.psu.edu/repos/rnateam/kinwalker/rbc_kinwalker/1.0	cotranscriptional folding of RNAs	kinwalker	RNA Analysis		
antaRNA		toolshed.g2.bx.psu.edu/repos/rnateam/antarna/antarna/1.1	Ant Colony Optimized RNA Sequence Design	antarna	RNA Analysis		
RNABOB		toolshed.g2.bx.psu.edu/repos/rnateam/rnabob/rbc_rnabob/2.2.1.0	Fast Pattern searching for RNA secondary structures	rnabob	RNA Analysis		
Get RT Stop Counts		toolshed.g2.bx.psu.edu/repos/tyty/structurefold/get_read_pipeline/1.0	derives the reverse transcriptase (RT) stop count on each nucleotide from a mapped file provided by the Iterative Mapping module	structurefold	RNA Analysis		
RNA Structure Prediction		toolshed.g2.bx.psu.edu/repos/tyty/structurefold/predict_pipeline/1.0	predict RNA structures with or without experimental constraints from the Reactivity Calculation module	structurefold	RNA Analysis		
Iterative Mapping		toolshed.g2.bx.psu.edu/repos/tyty/structurefold/iterative_map_pipeline/1.0	iteratively maps the raw reads of RNA structural data to the reference transcriptome	structurefold	RNA Analysis		
Reactivity Calculation		toolshed.g2.bx.psu.edu/repos/tyty/structurefold/react_cal_pipeline/1.0	calculates structural reactivity on each nucleotide based on RT stop counts from the Get RT Stop Counts module	structurefold	RNA Analysis		
Extract CuffDiff		toolshed.g2.bx.psu.edu/repos/devteam/cummerbund_to_tabular/cummerbund_to_cuffdiff/1.0.1	tabular files from a cummeRbund database	cummerbund_to_tabular	RNA Analysis		
MiRDeep2 Mapper		toolshed.g2.bx.psu.edu/repos/rnateam/mirdeep2_mapper/rbc_mirdeep2_mapper/2.0.0	process and map reads to a reference genome	mirdeep2_mapper	RNA Analysis		
MiRDeep2 Quantifier		toolshed.g2.bx.psu.edu/repos/rnateam/mirdeep2_quantifier/rbc_mirdeep2_quantifier/2.0.0	fast quantitation of reads mapping to known miRBase precursors	mirdeep2_quantifier	RNA Analysis		
MiRDeep2		toolshed.g2.bx.psu.edu/repos/rnateam/mirdeep2/rbc_mirdeep2/2.0.0	identification of novel and known miRNAs	mirdeep2	RNA Analysis		
RSEM prepare reference		toolshed.g2.bx.psu.edu/repos/jjohnson/rsem/rsem_prepare_reference/1.1.17		rsem	RNA Analysis		
RSEM calculate expression		toolshed.g2.bx.psu.edu/repos/jjohnson/rsem/rsem_calculate_expression/1.1.17	RNA-Seq by Expectation-Maximization	rsem	RNA Analysis		
RSEM trinity fasta to gene map		toolshed.g2.bx.psu.edu/repos/jjohnson/rsem/extract_transcript_to_gene_map_from_trinity/1.1.17	extract transcript to gene map from trinity	rsem	RNA Analysis		
CCAT		toolshed.g2.bx.psu.edu/repos/devteam/ccat/peakcalling_ccat/0.0.2	Control-based ChIP-seq Analysis Tool	ccat	Peak Calling		
MACS		toolshed.g2.bx.psu.edu/repos/devteam/macs/peakcalling_macs/1.0.1	Model-based Analysis of ChIP-Seq	macs	Peak Calling		
SICER		toolshed.g2.bx.psu.edu/repos/devteam/sicer/peakcalling_sicer/1.1	Statistical approach for the Identification of ChIP-Enriched Regions	sicer	Peak Calling		
Genrich		toolshed.g2.bx.psu.edu/repos/iuc/genrich/genrich/0.5+galaxy2	Detecting sites of genomic enrichment	genrich	Peak Calling		
DiffBind		toolshed.g2.bx.psu.edu/repos/bgruening/diffbind/diffbind/2.10.0	differential binding analysis of ChIP-Seq peak data	diffbind	Peak Calling		
PEAKachu		toolshed.g2.bx.psu.edu/repos/rnateam/peakachu/peakachu/0.1.0.2	Calls Peaks in CLIP data	peakachu	Peak Calling		
zerone		toolshed.g2.bx.psu.edu/repos/iuc/zerone/zerone/1.0		zerone	Peak Calling		
PureCLIP		toolshed.g2.bx.psu.edu/repos/iuc/pureclip/pureclip/1.0.4	- HMM based peak caller designed for eCLIP/iCLIP data	pureclip	Peak Calling		
JAMM		testtoolshed.g2.bx.psu.edu/repos/messersc/jamm/jamm/1.0.7	Calls peaks on NGS data	jamm	Peak Calling		
Piranha		toolshed.g2.bx.psu.edu/repos/rnateam/piranha/piranha/0.1.0	peak-caller for CLIP- and RIP-Seq data	piranha	Peak Calling		
bwameth		toolshed.g2.bx.psu.edu/repos/iuc/bwameth/bwameth/0.2.3+galaxy0	Fast and accurate aligner of BS-Seq reads.	bwameth	Epigenetics		
MethylDackel		toolshed.g2.bx.psu.edu/repos/bgruening/pileometh/pileometh/0.5.2+galaxy0	A tool for processing bisulfite sequencing alignments	pileometh	Epigenetics		
Filter		toolshed.g2.bx.psu.edu/repos/devteam/vcf_filter/vcf_filter/1.0.0	a VCF file	vcf_filter	Epigenetics		
